Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-037.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;122;419;1203;21;1224;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;449;496;945
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-024.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;156;582;2185;139;2324;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;547;496;1043
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-068.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;118;470;1442;54;1496;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;447;496;943
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-053.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;156;582;2185;139;2324;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;547;496;1043
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-098.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;118;415;1461;30;1491;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;448;496;944
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-084.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;286;1535;6454;709;7163;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;486;496;982
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-130.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;118;497;1687;59;1746;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;446;496;942
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-116.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;286;1535;6454;709;7163;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;486;496;982
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-162.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;122;435;1662;95;1757;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;446;496;942
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-147.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;310;1370;10024;1305;11329;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;459;496;955
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-197.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;93;243;971;3;974;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;455;496;951
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-179.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;310;1370;10024;1305;11329;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;459;496;955
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-230.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;120;439;1652;104;1756;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;446;496;942
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-215.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;575;2873;16408;1721;18129;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;240;496;855
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-260.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;93;279;1060;5;1065;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;452;496;948
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-248.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;575;2873;16408;1721;18129;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;240;496;855
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-292.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;103;383;1130;205;1335;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;416;496;912
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-278.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;621;3192;17362;1856;19218;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;195;496;847
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-327.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;122;432;1618;68;1686;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:46;0;446;496;942
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-311.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;621;3192;17362;1856;19218;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:47;0;195;496;847
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-357.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;130;482;1780;111;1891;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:47;0;442;496;938
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-341.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;546;2518;16365;1751;18116;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:47;0;267;496;864
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-389.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;167;842;2900;252;3152;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:47;0;421;496;917
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-372.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;546;2518;16365;1751;18116;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:47;0;267;496;864
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-431.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;180;859;3383;459;3842;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:47;0;415;496;911
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-416.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;617;2995;18480;2163;20643;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:47;0;197;496;847
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-469.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;164;849;3156;308;3464;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:48;0;423;496;919
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-453.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;617;2995;18480;2163;20643;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:48;0;197;496;847
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-505.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;161;745;2926;209;3135;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:48;0;425;496;921
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-490.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;574;2745;17929;1566;19495;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:48;0;244;496;853
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-539.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;171;770;2903;257;3160;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:49;0;420;496;916
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-523.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;574;2745;17929;1566;19495;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:49;0;244;496;853
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-580.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;158;708;2913;288;3201;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:49;0;424;496;920
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-561.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;519;2200;17282;1601;18883;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:49;0;298;496;873
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-617.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;169;872;3310;248;3558;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:49;0;418;496;914
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-45-600.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;519;2200;17282;1601;18883;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:50;0;298;496;873
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-652.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;180;876;4022;419;4441;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:50;0;412;496;908
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-46-997.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;96;208;688;0;688;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:50;0;573;496;1069
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-687.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;247;1372;5112;311;5423;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:50;0;388;496;884
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-47-022.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;96;208;688;0;688;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:50;0;573;496;1069
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-721.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;184;831;4522;422;4944;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:50;0;411;496;907
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-759.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;238;1265;5673;489;6162;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:51;0;391;496;887
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-793.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;183;800;4892;523;5415;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:51;0;411;496;907
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-825.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;252;1227;5605;495;6100;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:51;0;389;496;885
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-858.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;248;1199;5901;572;6473;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:51;0;389;496;885
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-896.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;249;1326;6124;518;6642;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:51;0;385;496;881
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-925.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;321;1535;6949;691;7640;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:52;0;363;496;859
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-960.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;191;714;4844;492;5336;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:52;0;409;496;905
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-993.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;249;1294;5894;737;6631;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:52;0;390;496;886
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-029.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;204;973;4911;332;5243;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:52;0;406;496;902
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-066.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;320;1568;6627;656;7283;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:52;0;364;496;860
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-097.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;228;1078;5109;477;5586;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:52;0;397;496;893
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-126.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;221;1171;5364;456;5820;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:53;0;398;496;894
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-159.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;290;1388;6008;682;6690;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:53;0;373;496;869
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-188.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;226;1217;5367;513;5880;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:53;0;396;496;892
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-222.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;252;1360;5473;433;5906;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:53;0;393;496;889
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-257.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;218;1067;4966;433;5399;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:53;0;399;496;895
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-290.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;183;783;4613;508;5121;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:53;0;412;496;908
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-320.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;201;964;5284;395;5679;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:54;0;405;496;901
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-352.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;201;1060;5529;428;5957;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:54;0;405;496;901
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-382.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;201;1007;5391;405;5796;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:54;0;406;496;902
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-414.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;212;1059;5232;525;5757;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:54;0;404;496;900
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-446.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;166;819;4461;407;4868;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:54;0;421;496;917
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-475.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;176;863;4109;231;4340;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:54;0;423;496;919
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-499.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;150;628;3522;254;3776;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:55;0;433;496;929
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-528.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;154;698;3752;391;4143;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:55;0;431;496;927
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-557.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;139;654;3538;237;3775;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:55;0;435;496;931
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-585.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;175;808;4053;288;4341;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:55;0;426;496;922
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-616.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;184;842;4808;350;5158;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:55;0;418;496;914
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-643.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;242;1178;6094;579;6673;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:55;0;396;496;892
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-677.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;240;1323;7035;525;7560;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:56;0;385;496;881
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-702.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;255;1394;7827;761;8588;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:56;0;377;496;873
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-733.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;420;2162;11476;1317;12793;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:56;0;282;496;804
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-46-762.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;264;1340;8170;814;8984;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:56;0;375;496;871
